Feature,Importance
ndvi_previous_year,0.27095786124343285
ndvi,0.265241853157778
ndwi_previous_year,0.08813635921532977
ndwi_mean,0.08632285119342814
rainfall_mm,0.07713387176157815
year,0.06601744339202244
temperature_celsius,0.05527681585898674
elevation_mean,0.04899230540843299
coastal_distance_km,0.0419206387690109
